SAFETY CRITERIA EXPORT
Source DB: data/safety_criteria.db
Rows: 320

airport_code | sector_name | primary_kind | other_kind | speed_min_mps | speed_max_mps | green_m | yellow_m | red_m
SFO | taxiway | vehicle | aircraft | 2.0 | 6.0 | 53.8 | 32.6 | 18.2
SFO | taxiway | vehicle | aircraft | 6.0 | 10.0 | 84.5 | 51.8 | 29.8
SFO | taxiway | vehicle | aircraft | 10.0 | 16.0 | 122.9 | 75.8 | 44.2
SFO | taxiway | vehicle | aircraft | 16.0 | 60.0 | 176.6 | 109.4 | 64.3
SFO | taxiway | vehicle | hazard | 0.0 | 2.0 | 19.3 | 11.1 | 5.8
SFO | taxiway | vehicle | hazard | 2.0 | 6.0 | 33.1 | 19.7 | 10.8
SFO | taxiway | vehicle | hazard | 6.0 | 10.0 | 51.5 | 31.1 | 17.4
SFO | taxiway | vehicle | hazard | 10.0 | 16.0 | 74.5 | 45.4 | 25.7
SFO | taxiway | vehicle | hazard | 16.0 | 60.0 | 106.7 | 65.3 | 37.3
SFO | taxiway | vehicle | vehicle | 0.0 | 2.0 | 22.6 | 13.0 | 6.8
SFO | taxiway | vehicle | vehicle | 2.0 | 6.0 | 39.5 | 23.7 | 13.0
SFO | taxiway | vehicle | vehicle | 6.0 | 10.0 | 62.0 | 38.0 | 21.2
SFO | taxiway | vehicle | vehicle | 10.0 | 16.0 | 90.2 | 55.8 | 31.6
SFO | taxiway | vehicle | vehicle | 16.0 | 60.0 | 129.7 | 80.8 | 46.1
SFO | taxiway | vehicle | wildlife | 0.0 | 2.0 | 132.0 | 88.0 | 44.8
SFO | taxiway | vehicle | wildlife | 2.0 | 6.0 | 168.0 | 112.0 | 59.2
SFO | taxiway | vehicle | wildlife | 6.0 | 10.0 | 216.0 | 144.0 | 78.4
SFO | taxiway | vehicle | wildlife | 10.0 | 16.0 | 276.0 | 184.0 | 102.4
SFO | taxiway | vehicle | wildlife | 16.0 | 60.0 | 360.0 | 240.0 | 136.0
